Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
Airport: [STR] Stuttgart, Germany
Airport: [DPS] Bali Ngurah Rai, Indonesia
Airport: [LYS] Saint Exupery, France
Airport: [CNS] Cairns Intl, Australia
Airport: [LPA] Gran Canaria, Spain
Airport: [HAM] Hamburg, Germany
Airport: [SAN] San Diego Intl, United States
Airport: [VLI] Port Vila Bauerfield, Vanuatu
Airport: [ALG] Houari Boumediene, Algeria
Airport: [EDI] Edinburgh, United Kingdom
Airport: [SJO] Juan Santamaria Intl, Costa Rica
Airport: [MRS] Provence, France
Airport: [WAW] Okecie, Poland
Airport: [CMN] Mohammed V Intl, Morocco
Airport: [YXL] Sioux Lookout, Canada
Airport: [GLA] Glasgow, United Kingdom
Airport: [SSA] Deputado Luis Eduardo Magalhaes, Brazil
Airport: [MHD] Mashhad, Iran
Airport: [TLV] Ben Gurion, Israel
Airport: [YEG] Edmonton Intl, Canada
Airport: [HER] Nikos Kazantzakis, Greece
Airport: [NAN] Nadi Intl, Fiji
Airport: [MAO] Eduardo Gomes Intl, Brazil
Airport: [CGO] Xinzheng, China
Airport: [VKO] Vnukovo, Russia
Airport: [UPG] Hasanuddin, Indonesia
Airport: [AYT] Antalya, Turkey
Airport: [BLR] Bangalore, India
Airport: [MAA] Chennai Intl, India
Airport: [DLC] Zhoushuizi, China
Airport: [AMM] Queen Alia Intl, Jordan
Airport: [CGN] Koln Bonn, Germany
Airport: [EZE] Ministro Pistarini, Argentina
Airport: [KWI] Kuwait Intl, Kuwait
Airport: [CNF] Tancredo Neves Intl, Brazil
Airport: [OME] Nome, United States
Airport: [SJU] Luis Munoz Marin Intl, Puerto Rico
Airport: [OTP] Henri Coanda, Romania
Airport: [ADL] Adelaide Intl, Australia
Airport: [SHE] Shenyang Taoxian International Airport, China
Airport: [HAN] Noibai Intl, Vietnam
Airport: [RHO] Rhodes Diagoras, Greece
Airport: [GEA] Magenta, New Caledonia
Airport: [CEB] Mactan Cebu Intl, Philippines
Airport: [KBP] Boryspil Intl, Ukraine
Airport: [CLE] Cleveland Hopkins Intl, United States
Airport: [TFS] Tenerife Sur, Spain
Airport: [MCT] Seeb Intl, Oman
Airport: [YZF] Yellowknife, Canada
Airport: [HRB] Taiping, China
Airport: [SVX] Koltsovo, Russia
Airport: [OTZ] Ralph Wien Mem, United States
Airport: [BGY] Bergamo Orio Al Serio, Italy
Airport: [CTS] New Chitose, Japan
Airport: [KTM] Tribhuvan Intl, Nepal
Airport: [PAC] Marcos A Gelabert Intl, Panama
Airport: [LAD] Luanda 4 De Fevereiro, Angola
Airport: [DRW] Darwin Intl, Australia
Airport: [NAS] Lynden Pindling Intl, Bahamas
Airport: [RIX] Riga Intl, Latvia
Airport: [HAV] Jose Marti Intl, Cuba
Airport: [TNA] Jinan, China
